Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
JA Morkel,2,2,5.0,0,66,2,2/36,33.00,13.20,15.0,0,0,1,0
M Morkel,10,10,35.3,0,297,10,2/27,29.70,8.36,21.3,0,0,0,0
CH Morris,12,12,44.0,0,308,13,2/30,23.69,7.00,20.3,0,0,8,0
C Munro,4,2,2.0,0,15,0,-,-,7.50,-,0,0,2,0
Mustafizur Rahman,16,16,61.0,1,421,17,3/16,24.76,6.90,21.5,0,0,2,0
S Nadeem,4,4,15.0,0,127,2,2/23,63.50,8.46,45.0,0,0,0,0
NS Naik,2,-,-,-,-,-,-,-,-,-,-,-,2,0
KK Nair,14,-,-,-,-,-,-,-,-,-,-,-,3,0
SP Narine,11,11,42.4,0,304,11,3/26,27.63,7.12,23.2,0,0,2,0
P Negi,8,5,9.0,0,84,1,1/19,84.00,9.33,54.0,0,0,2,0
A Nehra,8,8,26.0,1,199,9,3/15,22.11,7.65,17.3,0,0,1,0
NV Ojha,17,-,-,-,-,-,-,-,-,-,-,-,18,0
MK Pandey,12,-,-,-,-,-,-,-,-,-,-,-,7,0
HH Pandya,11,10,16.4,0,153,3,1/7,51.00,9.18,33.3,0,0,6,0
KH Pandya,12,11,31.1,0,236,6,2/15,39.33,7.57,31.1,0,0,2,0
RR Pant,10,-,-,-,-,-,-,-,-,-,-,-,3,0
Parvez Rasool,4,4,14.0,0,129,1,1/31,129.00,9.21,84.0,0,0,2,0
AR Patel,14,14,47.5,0,388,13,4/21,29.84,8.11,22.0,1,0,2,0
HV Patel,5,5,14.0,0,147,1,1/46,147.00,10.50,84.0,0,0,2,0
PA Patel,10,-,-,-,-,-,-,-,-,-,-,-,9,1
IK Pathan,4,3,8.0,0,61,0,-,-,7.62,-,0,0,1,0
YK Pathan,15,4,6.0,0,33,1,1/6,33.00,5.50,36.0,0,0,3,0
NLTC Perera,12,11,33.1,0,326,9,3/34,36.22,9.82,22.1,0,0,5,0
KP Pietersen,4,-,-,-,-,-,-,-,-,-,-,-,1,0
KA Pollard,13,4,6.0,0,81,0,-,-,13.50,-,0,0,5,0
AM Rahane,14,-,-,-,-,-,-,-,-,-,-,-,7,0
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,5,4
SK Raina,15,4,10.0,0,82,0,-,-,8.20,-,0,0,7,0
AS Rajpoot,4,4,11.0,0,98,3,1/14,32.66,8.90,22.0,0,0,0,0
N Rana,4,1,1.0,0,3,0,-,-,3.00,-,0,0,0,0
AT Rayudu,13,-,-,-,-,-,-,-,-,-,-,-,4,0
KW Richardson,4,4,14.0,0,136,7,3/13,19.42,9.71,12.0,0,0,2,0
AD Russell,12,12,36.3,0,291,15,4/20,19.40,7.97,14.6,1,0,2,0
Sachin Baby,11,2,1.4,0,8,2,2/4,4.00,4.80,5.0,0,0,1,0
WP Saha,12,-,-,-,-,-,-,-,-,-,-,-,7,3
P Sahu,5,5,17.3,0,146,3,2/18,48.66,8.34,35.0,0,0,0,0
SV Samson,14,-,-,-,-,-,-,-,-,-,-,-,3,1
Sandeep Sharma,14,14,50.0,1,366,15,2/11,24.40,7.32,20.0,0,0,2,0
PJ Sangwan,2,2,4.0,0,49,0,-,-,12.25,-,0,0,1,0
R Sathish,4,3,6.0,0,59,1,1/20,59.00,9.83,36.0,0,0,0,0
T Shamsi,4,4,16.0,0,147,3,1/21,49.00,9.18,32.0,0,0,1,0
Shakib Al Hasan,10,9,31.0,0,243,5,1/14,48.60,7.83,37.2,0,0,4,0
I Sharma,4,4,15.0,0,148,3,2/36,49.33,9.86,30.0,0,0,2,0
KV Sharma,5,5,16.2,0,171,0,-,-,10.46,-,0,0,0,0
MM Sharma,14,14,48.3,0,407,13,3/23,31.30,8.39,22.3,0,0,3,0
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,2,0
LMP Simmons,1,-,-,-,-,-,-,-,-,-,-,-,0,0
RP Singh,4,4,12.0,0,111,3,1/23,37.00,9.25,24.0,0,0,0,0
DR Smith,12,8,18.0,0,153,8,4/8,19.12,8.50,13.5,1,0,7,0
SPD Smith,8,-,-,-,-,-,-,-,-,-,-,-,2,0
TG Southee,11,11,43.0,0,329,9,3/24,36.55,7.65,28.6,0,0,4,0
BB Sran,14,14,49.3,0,413,14,3/28,29.50,8.34,21.2,0,0,2,0
DW Steyn,1,1,2.0,0,17,0,-,-,8.50,-,0,0,0,0
MP Stoinis,7,7,23.0,0,194,8,4/15,24.25,8.43,17.2,1,0,0,0
J Suchith,1,1,2.0,0,31,0,-,-,15.50,-,0,0,0,0
Swapnil Singh,1,1,3.0,0,29,0,-,-,9.66,-,0,0,0,0
PV Tambe,7,7,16.0,0,143,5,2/12,28.60,8.93,19.2,0,0,1,0
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,1,0
SS Tiwary,10,-,-,-,-,-,-,-,-,-,-,-,4,0
JD Unadkat,1,1,3.0,0,49,0,-,-,16.33,-,0,0,0,0
RV Uthappa,15,-,-,-,-,-,-,-,-,-,-,-,10,4
M Vijay,14,1,1.0,0,8,0,-,-,8.00,-,0,0,2,0
R Vinay Kumar,3,3,9.0,1,64,3,2/17,21.33,7.11,18.0,0,0,0,0
M Vohra,7,-,-,-,-,-,-,-,-,-,-,-,3,0
DA Warner,17,-,-,-,-,-,-,-,-,-,-,-,4,0
SR Watson,16,16,56.3,0,485,20,4/29,24.25,8.58,16.9,1,0,6,0
D Wiese,1,1,4.0,0,49,0,-,-,12.25,-,0,0,1,0
KS Williamson,6,1,1.0,0,7,0,-,-,7.00,-,0,0,5,0
J Yadav,5,5,17.0,0,125,2,1/23,62.50,7.35,51.0,0,0,1,0
SA Yadav,15,-,-,-,-,-,-,-,-,-,-,-,6,0
UT Yadav,9,9,26.0,0,234,10,3/28,23.40,9.00,15.6,0,0,1,0
Yuvraj Singh,10,5,6.1,0,52,0,-,-,8.43,-,0,0,1,0
A Zampa,5,5,17.0,0,115,12,6/19,9.58,6.76,8.5,0,1,0,0
