player_name,matches_played,innings_bowled,overs_bowled,maidens_earned,runs_conceded,wickets_taken,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,catches_taken,stumpings_made
S Tyagi,14,14,34.5,0,295,6,2/18,49.16,8.46,34.8,0,0,3,0
S Vidyut,9,1,2,0,22,1,1/22,22,11,12,0,0,1,0
M Vijay,65,-,-,-,-,-,-,-,-,-,-,-,32,0
SR Watson,15,11,28,0,251,6,2/29,41.83,8.96,28,0,0,3,0
DJ Willey,3,3,10,0,95,2,1/24,47.5,9.5,30,0,0,2,0
MA Wood,1,1,4,0,49,0,-,-,12.25,-,0,0,1,0
AN Ahmed,10,10,31,1,257,8,2/13,32.12,8.29,23.2,0,0,2,0
CJ Anderson,16,11,22,0,217,5,2/18,43.4,9.86,26.4,0,0,6,0
STR Binny,1,1,1,0,9,0,-,-,9,-,0,0,0,0
AC Blizzard,7,-,-,-,-,-,-,-,-,-,-,-,4,0
DJ Bravo,30,30,87.4,1,719,26,3/24,27.65,8.2,20.2,0,0,15,0
JJ Bumrah,61,61,227,3,1773,63,3/7,28.14,7.81,21.6,0,0,7,0
JC Buttler,24,-,-,-,-,-,-,-,-,-,-,-,8,0
YS Chahal,1,1,4,0,34,0,-,-,8.5,-,0,0,0,0
UBT Chand,7,-,-,-,-,-,-,-,-,-,-,-,3,0
SD Chitnis,3,2,6,0,60,2,2/40,30,10,18,0,0,1,0
NM Coulter-Nile,1,1,4,0,29,1,1/29,29,7.25,24,0,0,1,0
BCJ Cutting,9,7,17,0,168,2,1/12,84,9.88,51,0,0,7,0
A Dananjaya,1,1,4,0,47,0,-,-,11.75,-,0,0,0,0
M de Lange,2,2,8,1,62,2,2/32,31,7.75,24,0,0,0,0
R Dhawan,6,5,15,1,109,2,1/6,54.5,7.26,45,0,0,3,0
S Dhawan,15,-,-,-,-,-,-,-,-,-,-,-,6,0
JP Duminy,26,10,26,0,166,5,2/15,33.2,6.38,31.2,0,0,9,0
BR Dunk,3,-,-,-,-,-,-,-,-,-,-,-,3,0
CRD Fernando,10,10,39,0,298,17,4/18,17.52,7.64,13.7,1,0,3,0
AJ Finch,3,-,-,-,-,-,-,-,-,-,-,-,0,0
JEC Franklin,20,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0,6,0
CM Gautam,9,-,-,-,-,-,-,-,-,-,-,-,3,3
HH Gibbs,3,-,-,-,-,-,-,-,-,-,-,-,0,0
S Gopal,6,6,19.1,0,154,7,2/25,22,8.03,16.4,0,0,1,0
MJ Guptill,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Harbhajan Singh,136,134,486.3,5,3385,127,5/18,26.65,6.95,22.9,1,1,40,0
MEK Hussey,9,-,-,-,-,-,-,-,-,-,-,-,3,0
Ishan Kishan,14,-,-,-,-,-,-,-,-,-,-,-,9,2
DJ Jacobs,7,-,-,-,-,-,-,-,-,-,-,-,3,2
ST Jayasuriya,30,21,49,1,390,13,3/14,30,7.95,22.6,0,0,4,0
MG Johnson,22,22,84,1,600,31,3/26,19.35,7.14,16.2,0,0,8,0
KD Karthik,36,-,-,-,-,-,-,-,-,-,-,-,17,4
Z Khan,26,26,91.4,1,664,26,3/21,25.53,7.24,21.1,0,0,6,0
MA Khote,4,2,5,0,51,2,2/29,25.5,10.2,15,0,0,0,0
DS Kulkarni,33,33,106.1,1,846,36,3/18,23.5,7.96,17.6,0,0,6,0
P Kumar,3,3,12,0,78,3,2/31,26,6.5,24,0,0,0,0
RE Levi,6,-,-,-,-,-,-,-,-,-,-,-,2,0
E Lewis,13,-,-,-,-,-,-,-,-,-,-,-,3,0
MJ McClenaghan,51,51,194.2,0,1661,68,4/21,24.42,8.54,17.1,1,0,1,0
CJ McKay,2,2,7,0,60,1,1/36,60,8.57,42,0,0,0,0
R McLaren,10,10,34,0,270,4,2/28,67.5,7.94,51,0,0,2,0
C Madan,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SL Malinga,110,110,426.2,8,2928,154,5/13,19.01,6.86,16.6,4,1,20,0
M Markande,14,14,44,0,368,15,4/23,24.53,8.36,17.6,1,0,3,0
GJ Maxwell,3,2,2,0,23,0,-,-,11.5,-,0,0,1,0
Mohammad Ashraful,1,-,-,-,-,-,-,-,-,-,-,-,2,0
AG Murtaza,8,8,32,0,208,6,2/18,34.66,6.5,32,0,0,2,0
Mustafizur Rahman,7,7,27.3,0,230,7,3/24,32.85,8.36,23.5,0,0,2,0
C Nanda,3,3,8,0,57,2,1/4,28.5,7.12,24,0,0,0,0
GR Napier,1,1,4,0,27,1,1/27,27,6.75,24,0,0,0,0
AM Nayar,30,9,19,0,152,5,3/13,30.4,8,22.8,0,0,9,0
A Nehra,14,14,44.5,0,348,12,3/13,29,7.76,22.4,0,0,7,0
A Nel,1,1,3,0,31,1,1/31,31,10.33,18,0,0,0,0
PP Ojha,38,37,130.2,1,1004,29,3/11,34.62,7.7,26.9,0,0,3,0
JDP Oram,1,1,4,0,22,0,-,-,5.5,-,0,0,0,0
MK Pandey,3,-,-,-,-,-,-,-,-,-,-,-,0,0
HH Pandya,50,44,102.2,0,923,28,3/24,32.96,9.01,21.9,0,0,32,0
KH Pandya,39,37,111.2,0,793,28,3/14,28.32,7.12,23.8,0,0,13,0
MM Patel,31,31,116,3,862,40,5/21,21.55,7.43,17.4,2,1,8,0
PA Patel,40,-,-,-,-,-,-,-,-,-,-,-,22,6
RV Pawar,1,-,-,-,-,-,-,-,-,-,-,-,0,0
NLTC Perera,2,2,2.3,0,27,0,-,-,10.8,-,0,0,2,0
RJ Peterson,5,4,8,0,70,3,3/37,23.33,8.75,16,0,0,1,0
KA Pollard,132,81,199.5,0,1770,56,4/44,31.6,8.85,21.4,1,0,74,0
SM Pollock,13,13,46,1,301,11,3/12,27.36,6.54,25,0,0,2,0
RT Ponting,6,-,-,-,-,-,-,-,-,-,-,-,2,0
RW Price,1,1,3,0,33,0,-,-,11,-,0,0,0,0
AM Rahane,10,1,1,0,5,1,1/5,5,5,6,0,0,1,0
RR Raje,10,10,23.1,0,209,6,2/16,34.83,9.02,23.1,0,0,3,0
N Rana,17,1,1,0,3,0,-,-,3,-,0,0,4,0
AT Rayudu,114,-,-,-,-,-,-,-,-,-,-,-,45,2
L Ronchi,5,-,-,-,-,-,-,-,-,-,-,-,4,0
PJ Sangwan,1,1,2,0,19,0,-,-,9.5,-,0,0,0,0
K Santokie,2,2,8,0,90,3,2/50,30,11.25,16,0,0,1,0
R Sathish,21,8,13.1,0,122,2,1/11,61,9.26,39.5,0,0,6,0
PR Shah,14,-,-,-,-,-,-,-,-,-,-,-,10,2
RA Shaikh,1,1,1,0,11,0,-,-,11,-,0,0,0,0
KV Sharma,9,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0,3,0
RG Sharma,128,8,9.2,0,101,1,1/20,101,10.82,56,0,0,57,0
R Shukla,1,1,3,0,31,0,-,-,10.33,-,0,0,0,0
LMP Simmons,29,1,3,0,34,1,1/34,34,11.33,18,0,0,10,0
RP Singh,11,11,41,0,318,10,3/28,31.8,7.75,24.6,0,0,3,0
DR Smith,24,13,29,0,237,9,3/26,26.33,8.17,19.3,0,0,11,0
TG Southee,14,14,53,1,425,12,3/24,35.41,8.01,26.5,0,0,5,0
J Suchith,14,13,41,0,368,10,2/14,36.8,8.97,24.6,0,0,8,0
TL Suman,10,3,6,0,50,0,-,-,8.33,-,0,0,3,0
P Suyal,5,5,16,0,151,2,1/21,75.5,9.43,48,0,0,1,0
A Symonds,11,3,4,0,41,1,1/11,41,10.25,24,0,0,5,0
YV Takawale,11,-,-,-,-,-,-,-,-,-,-,-,11,3
AP Tare,29,-,-,-,-,-,-,-,-,-,-,-,2,5
SR Tendulkar,78,4,6,0,58,0,-,-,9.66,-,0,0,23,0
DJ Thornely,6,4,7,0,40,3,2/7,13.33,5.71,14,0,0,3,0
SS Tiwary,24,-,-,-,-,-,-,-,-,-,-,-,4,0
RV Uthappa,14,-,-,-,-,-,-,-,-,-,-,-,9,0
R Vinay Kumar,17,17,55.3,1,463,12,2/17,38.58,8.34,27.7,0,0,6,0
SA Yadav,15,-,-,-,-,-,-,-,-,-,-,-,8,0
VS Yeligati,2,2,5,0,59,0,-,-,11.8,-,0,0,0,0
UA Birla,2,-,-,-,-,-,-,-,-,-,-,-,1,0
MJ Clarke,6,5,11,0,67,2,1/12,33.5,6.09,33,0,0,1,0
AB Dinda,20,20,73,1,634,25,4/18,25.36,8.68,17.5,1,0,4,0
JP Faulkner,1,1,2,1,9,1,1/9,9,4.5,12,0,0,0,0
CJ Ferguson,9,-,-,-,-,-,-,-,-,-,-,-,2,0
AJ Finch,14,3,4,0,49,1,1/11,49,12.25,24,0,0,2,0
SC Ganguly,19,4,10,0,95,2,2/27,47.5,9.5,30,0,0,7,0
RV Gomez,2,1,1,0,5,0,-,-,5,-,0,0,2,0
Harpreet Singh,3,-,-,-,-,-,-,-,-,-,-,-,2,0
AA Jhunjhunwala,3,2,2,0,22,0,-,-,11,-,0,0,4,0
Kamran Khan,1,1,3,0,47,0,-,-,15.66,-,0,0,0,0
M Kartik,17,17,57,1,432,5,2/14,86.4,7.57,68.4,0,0,5,0
B Kumar,31,31,107,2,719,24,3/18,29.95,6.71,26.7,0,0,4,0
NL McCullum,2,2,5,0,34,0,-,-,6.8,-,0,0,1,0
AP Majumdar,4,-,-,-,-,-,-,-,-,-,-,-,0,0
M Manhas,23,3,7,0,42,0,-,-,6,-,0,0,9,0
MR Marsh,14,12,33.3,0,281,14,4/25,20.07,8.38,14.3,1,0,7,0
AD Mathews,20,19,57,0,432,12,3/14,36,7.57,28.5,0,0,8,0
BAW Mendis,3,3,12,0,78,2,1/15,39,6.5,36,0,0,0,0
MD Mishra,7,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Mundhe,1,1,1,0,6,1,1/6,6,6,6,0,0,0,0
AG Murtaza,4,4,12,0,105,3,3/15,35,8.75,24,0,0,1,0
AM Nayar,11,3,8,0,59,2,1/15,29.5,7.37,24,0,0,1,0
A Nehra,13,13,48,0,402,11,3/23,36.54,8.37,26.1,0,0,1,0
TD Paine,2,-,-,-,-,-,-,-,-,-,-,-,0,0
IC Pandey,2,2,4,0,50,1,1/17,50,12.5,24,0,0,0,0
MK Pandey,27,-,-,-,-,-,-,-,-,-,-,-,14,0
WD Parnell,18,18,65.1,1,478,20,3/27,23.9,7.33,19.5,0,0,3,0
Parvez Rasool,2,2,5,0,28,1,1/23,28,5.6,30,0,0,0,0
S Rana,2,1,0.4,0,2,0,-,-,3,-,0,0,0,0
M Rawat,2,-,-,-,-,-,-,-,-,-,-,-,1,1
KW Richardson,3,3,11.5,0,101,2,1/28,50.5,8.53,35.5,0,0,0,0
JD Ryder,24,11,22.2,1,188,5,1/8,37.6,8.41,26.8,0,0,8,0
MN Samuels,10,9,32.4,0,250,9,3/39,27.77,7.65,21.7,0,0,1,0
R Sharma,36,36,128,1,854,34,3/13,25.11,6.67,22.5,0,0,11,0
GC Smith,4,-,-,-,-,-,-,-,-,-,-,-,1,0
SPD Smith,22,1,0.2,0,5,0,-,-,15,-,0,0,14,0
TL Suman,7,1,2,0,15,1,1/15,15,7.5,12,0,0,2,0
JE Taylor,5,5,19.3,0,157,6,3/30,26.16,8.05,19.5,0,0,0,0
LRPL Taylor,5,-,-,-,-,-,-,-,-,-,-,-,2,0
AC Thomas,15,15,52.3,2,406,14,3/22,29,7.73,22.5,0,0,3,0
K Upadhyay,3,3,9,0,81,0,-,-,9,-,0,0,1,0
RV Uthappa,46,-,-,-,-,-,-,-,-,-,-,-,25,6
SB Wagh,7,7,16,0,121,4,3/16,30.25,7.56,24,0,0,1,0
LJ Wright,7,6,11.5,0,124,2,1/12,62,10.47,35.5,0,0,2,0
Yuvraj Singh,27,23,51,0,344,15,4/29,22.93,6.74,20.4,1,0,6,0
S Ladda,1,1,2,0,21,0,-,-,10.5,-,0,0,0,0
AD Nath,5,-,-,-,-,-,-,-,-,-,-,-,0,0
SS Agarwal,1,1,4,0,42,1,1/42,42,10.5,24,0,0,1,0
Ankit Soni,7,6,18.1,0,144,2,1/16,72,7.92,54.5,0,0,1,0
Basil Thampi,12,12,44.4,0,424,11,3/29,38.54,9.49,24.3,0,0,2,0
DJ Bravo,15,15,56,0,494,17,4/22,29.05,8.82,19.7,1,0,6,0
ER Dwivedi,4,-,-,-,-,-,-,-,-,-,-,-,2,0
JP Faulkner,15,15,43.2,0,425,8,2/34,53.12,9.8,32.5,0,0,6,0
AJ Finch,26,-,-,-,-,-,-,-,-,-,-,-,8,0
MS Gony,1,1,2,0,32,0,-,-,16,-,0,0,0,0
Ishan Kishan,16,-,-,-,-,-,-,-,-,-,-,-,4,0
RA Jadeja,27,26,78.1,0,660,13,2/18,50.76,8.44,36,0,0,6,0
SB Jakati,8,8,25,0,230,2,1/13,115,9.2,75,0,0,4,0
KD Karthik,30,-,-,-,-,-,-,-,-,-,-,-,19,3
S Kaushik,10,10,34,0,297,6,3/20,49.5,8.73,34,0,0,0,0
DS Kulkarni,20,20,67.5,4,537,21,4/14,25.57,7.91,19.3,1,0,3,0
P Kumar,22,22,68,2,552,15,2/19,36.8,8.11,27.2,0,0,2,0
BB McCullum,27,-,-,-,-,-,-,-,-,-,-,-,8,0
MM Patel,2,2,7,0,57,1,1/35,57,8.14,42,0,0,0,0
IK Pathan,1,1,2,0,26,0,-,-,13,-,0,0,0,0
SK Raina,29,10,22,0,184,1,1/11,184,8.36,132,0,0,11,0
JJ Roy,3,-,-,-,-,-,-,-,-,-,-,-,1,0
PJ Sangwan,7,7,22,0,230,5,2/38,46,10.45,26.4,0,0,1,0
NB Singh,2,2,4,0,15,1,1/7,15,3.75,24,0,0,0,0
DR Smith,24,17,31,0,301,10,4/8,30.1,9.7,18.6,1,0,10,0
DW Steyn,1,1,2,0,17,0,-,-,8.5,-,0,0,0,0
PV Tambe,7,7,16,0,143,5,2/12,28.6,8.93,19.2,0,0,1,0
Tejas Baroka,1,1,3.3,0,33,0,-,-,9.42,-,0,0,0,0
AJ Tye,6,6,21,0,141,12,5/17,11.75,6.71,10.5,0,1,0,0
VR Aaron,6,6,20,0,163,7,2/3,23.28,8.15,17.1,0,0,0,0
KJ Abbott,5,5,16,0,177,2,1/38,88.5,11.06,48,0,0,0,0
YA Abdulla,11,11,34.5,1,307,15,4/31,20.46,8.81,13.9,2,0,0,0
L Ablish,3,3,7,0,75,3,2/17,25,10.71,14,0,0,0,0
AD Nath,1,-,-,-,-,-,-,-,-,-,-,-,1,0
MA Agarwal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
HM Amla,16,-,-,-,-,-,-,-,-,-,-,-,0,0
Anureet Singh,17,17,59.4,0,534,15,3/23,35.6,8.94,23.8,0,0,4,0
R Ashwin,14,14,50.4,0,410,10,2/18,41,8.09,30.4,0,0,5,0
P Awana,33,33,124.3,2,1029,39,4/34,26.38,8.26,19.1,1,0,4,0
Azhar Mahmood,22,22,86.3,0,659,29,3/20,22.72,7.61,17.8,0,0,8,0
GJ Bailey,30,-,-,-,-,-,-,-,-,-,-,-,9,0
L Balaji,9,9,34,0,299,12,4/13,24.91,8.79,17,1,0,0,0
AB Barath,3,-,-,-,-,-,-,-,-,-,-,-,0,0
F Behardien,3,-,-,-,-,-,-,-,-,-,-,-,1,0
BA Bhatt,17,15,49.2,0,397,12,4/22,33.08,8.04,24.6,1,0,1,0
Bipul Sharma,15,12,33.4,0,272,8,2/32,34,8.07,25.2,0,0,4,0
MS Bisla,10,-,-,-,-,-,-,-,-,-,-,-,4,0
RS Bopara,15,7,14.2,0,132,5,3/31,26.4,9.2,17.2,0,0,5,0
RR Bose,1,1,2,0,24,0,-,-,12,-,0,0,0,0
KC Cariappa,9,9,32,0,286,7,2/16,40.85,8.93,27.4,0,0,3,0
PP Chawla,87,87,297.2,2,2237,84,4/17,26.63,7.52,21.2,1,0,22,0
SD Chitnis,7,-,-,-,-,-,-,-,-,-,-,-,1,0
P Dharmani,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Dhawan,20,20,66.2,0,531,16,2/14,33.18,8,24.8,0,0,3,0
P Dogra,3,-,-,-,-,-,-,-,-,-,-,-,1,0
JP Faulkner,2,2,8,0,72,3,2/41,24,9,16,0,0,1,0
AJ Finch,10,-,-,-,-,-,-,-,-,-,-,-,4,0
Gagandeep Singh,4,4,14,0,141,3,1/33,47,10.07,28,0,0,0,0
CH Gayle,11,-,-,-,-,-,-,-,-,-,-,-,2,0
AC Gilchrist,34,1,0.1,0,0,1,1/0,0,0,1,0,0,26,3
K Goel,22,6,11,0,93,0,-,-,8.45,-,0,0,9,0
MS Gony,8,8,28,0,256,7,2/24,36.57,9.14,24,0,0,0,0
MJ Guptill,7,-,-,-,-,-,-,-,-,-,-,-,6,0
Gurkeerat Singh,30,6,13,0,97,5,2/15,19.4,7.46,15.6,0,0,13,1
Harmeet Singh,10,10,33.4,0,278,12,3/24,23.16,8.25,16.8,0,0,2,0
RJ Harris,21,21,77,1,584,25,4/34,23.36,7.58,18.4,1,0,10,0
BE Hendricks,7,7,25,0,235,9,3/36,26.11,9.4,16.6,0,0,3,0
MJ Henry,2,2,5,0,71,1,1/31,71,14.2,30,0,0,0,0
JR Hopes,11,11,28,0,276,7,2/2,39.42,9.85,24,0,0,3,0
DJ Hussey,36,12,23,0,192,4,2/2,48,8.34,34.5,0,0,14,0
DPMD Jayawardene,36,-,-,-,-,-,-,-,-,-,-,-,16,0
MG Johnson,26,26,100.2,1,886,28,2/19,31.64,8.83,21.5,0,0,5,0
M Kaif,4,-,-,-,-,-,-,-,-,-,-,-,2,0
Karanveer Singh,9,9,34,0,321,12,4/54,26.75,9.44,17,1,0,2,0
KD Karthik,14,-,-,-,-,-,-,-,-,-,-,-,7,0
M Kartik,2,2,8,0,91,1,1/51,91,11.37,48,0,0,1,0
SM Katich,11,-,-,-,-,-,-,-,-,-,-,-,2,0
U Kaul,5,-,-,-,-,-,-,-,-,-,-,-,2,0
T Kohli,2,-,-,-,-,-,-,-,-,-,-,-,0,0
P Kumar,44,44,165.2,10,1152,31,2/10,37.16,6.96,32,0,0,4,0
B Lee,13,13,50.3,1,372,9,3/15,41.33,7.36,33.6,0,0,6,0
R McLaren,6,6,18,0,178,5,2/33,35.6,9.88,21.6,0,0,2,0
VS Malik,9,9,21.1,0,173,3,1/12,57.66,8.17,42.3,0,0,1,0
Mandeep Singh,41,-,-,-,-,-,-,-,-,-,-,-,13,0
SE Marsh,71,-,-,-,-,-,-,-,-,-,-,-,26,0
AD Mascarenhas,5,5,20,0,130,7,5/25,18.57,6.5,17.1,0,1,2,0
GJ Maxwell,52,29,49,0,434,10,2/15,43.4,8.85,29.4,0,0,21,0
DA Miller,69,-,-,-,-,-,-,-,-,-,-,-,42,0
EJG Morgan,4,-,-,-,-,-,-,-,-,-,-,-,3,0
WA Mota,12,7,12,0,97,4,1/6,24.25,8.08,18,0,0,5,0
Mujeeb Ur Rahman,11,11,41.2,0,289,14,3/27,20.64,6.99,17.7,0,0,1,0
NS Naik,2,-,-,-,-,-,-,-,-,-,-,-,2,0
KK Nair,13,-,-,-,-,-,-,-,-,-,-,-,9,0
T Natarajan,6,6,12.4,0,115,2,1/26,57.5,9.07,38,0,0,0,0
AM Nayar,14,7,11.1,0,111,2,1/22,55.5,9.94,33.5,0,0,2,0
MG Neser,1,1,4,0,62,0,-,-,15.5,-,0,0,0,0
AR Patel,68,67,234.3,2,1765,61,4/21,28.93,7.52,23,1,0,25,0
IK Pathan,42,42,149.4,3,1166,47,3/24,24.8,7.79,19.1,0,0,12,0
NLTC Perera,2,2,6,0,55,1,1/33,55,9.16,36,0,0,0,0
LA Pomersbach,12,-,-,-,-,-,-,-,-,-,-,-,2,0
RR Powar,22,21,59,0,415,11,2/11,37.72,7.03,32.1,0,0,5,0
CA Pujara,6,-,-,-,-,-,-,-,-,-,-,-,0,0
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,10,1
AS Rajpoot,8,8,26.1,1,223,11,5/14,20.27,8.52,14.2,0,1,2,0
NJ Rimmington,1,1,3,0,19,0,-,-,6.33,-,0,0,0,0
WP Saha,57,-,-,-,-,-,-,-,-,-,-,-,36,12
P Sahu,5,5,17.3,0,146,3,2/18,48.66,8.34,35,0,0,0,0
N Saini,10,-,-,-,-,-,-,-,-,-,-,-,11,2
Sandeep Sharma,56,56,204.1,8,1587,71,4/20,22.35,7.77,17.2,2,0,8,0
KC Sangakkara,37,-,-,-,-,-,-,-,-,-,-,-,16,7
RR Sarwan,4,-,-,-,-,-,-,-,-,-,-,-,1,0
R Sathish,9,3,4,0,51,0,-,-,12.75,-,0,0,0,0
V Sehwag,25,-,-,-,-,-,-,-,-,-,-,-,5,0
I Sharma,6,6,18,0,179,0,-,-,9.94,-,0,0,0,0
MM Sharma,37,37,123.5,0,1139,33,3/23,34.51,9.19,22.5,0,0,8,0
Shivam Sharma,5,5,19,0,165,4,2/26,41.25,8.68,28.5,0,0,1,0
VRV Singh,19,18,60,0,542,12,3/29,45.16,9.03,30,0,0,3,0
RS Sodhi,3,-,-,-,-,-,-,-,-,-,-,-,2,0
S Sohal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
BB Sran,6,6,22,0,229,4,2/50,57.25,10.4,33,0,0,2,0
S Sreesanth,28,28,93.1,0,825,28,3/29,29.46,8.85,19.9,0,0,2,0
SJ Srivastava,14,14,47,0,441,14,2/20,31.5,9.38,20.1,0,0,3,0
TM Srivastava,7,-,-,-,-,-,-,-,-,-,-,-,2,0
MP Stoinis,19,18,44.3,0,424,13,4/15,32.61,9.52,20.5,1,0,5,0
Sunny Singh,6,-,-,-,-,-,-,-,-,-,-,-,1,0
Swapnil Singh,5,5,10,0,90,1,1/14,90,9,60,0,0,1,0
R Tewatia,3,3,9,0,49,3,2/18,16.33,5.44,18,0,0,0,0
SN Thakur,1,1,3,0,38,1,1/38,38,12.66,18,0,0,0,0
J Theron,7,7,24,0,187,6,2/17,31.16,7.79,24,0,0,1,0
MK Tiwary,5,1,1,0,10,0,-,-,10,-,0,0,4,0
AJ Tye,14,14,56,0,448,24,4/16,18.66,8,14,3,0,5,0
